,quotation
1383,"Can't be too cold, right? Never. Never too cold to go out and skate."
1384,"We have a president who is a homophobe,"
1385,"I said, `Well, what do you want to do?' And he said, `Anything you want me to do, I'll come there, I'll do whatever. '"
1386,potentially destabilizing many of our NATO allies in Europe.
1387,"If these individuals can join large groups across state lines, I think they'll get protection, less expensive insurance, and it'll be able to solve a lot of the problems we have in the individual market,"
1388,"Although there have been additions to the planetary science budget that have been impressive, they've been devoted elsewhere,"
1389,"I do not think it's a wise policy to build a greater distance between the inmate and their family,"
1390,the entire government leaks like crazy.
1391,"Heroin abuse touches our communities, our homes and our families in ways that have grave effects on everyday people and everyday lives,"
1392,"Many of the problems currently plaguing the Middle East, as well as the migratory pressures facing the EU, cannot be solved without Turkey at the table playing a leadership role, and I reiterated that to officials there and urged them to keep working with the United States to address these shared challenges,"
1393,"I can't think of an issue that is affecting Vermont more than climate change,"
1394,"You know, as soon as this Democratic primary process is over, we're not gon na hear any more talk about the minimum wage. We're not gon na hear any more talk about making college affordable or providing health care to everybody. It's gon na be a mudslinging contest. The Trump people, the Republican Party, all their super PACS, are gon na engage in character assassination no matter who the nominee is, and that's what it's gon na be focused on. It's unfortunate, but as long as there a Democratic primary process going on, people are talking about issues that are important not only to Democrats but to Americans as a whole."
